Type1,regionExp_response_8.rt,regionExp_response_9.rt,Type2,regionExp_response_8.rt,regionExp_response_9.rt,OmS_8,OmS_9,Participant
O,0.774739027,1.045457125,S,0.446616173,2.835584164,0.328122854,-1.790127039,13
O,0.496226072,0.57902503,S,2.219012976,0.462214947,-1.722786904,0.116810083,14
O,0.362841129,0.310935974,S,0.495418787,3.538331985,-0.132577658,-3.227396011,14
O,1.33092618,0.712582111,S,0.328272104,0.528086185,1.002654076,0.184495926,14
O,1.634258986,1.331269979,S,0.229243994,0.495484114,1.405014992,0.835785865,14
O,0.194046974,0.863313913,S,0.411334991,0.62903285,-0.217288017,0.234281063,14
O,1.181954861,1.732765913,S,0.446230173,0.528955936,0.735724688,1.203809977,14
O,3.019786835,0.595317125,S,0.329571962,0.612447023,2.690214873,-0.017129898,14
O,1.432859898,3.67126298,S,0.328998089,0.51145196,1.103861809,3.15981102,14
O,0.429159164,0.528595209,S,0.745288849,0.428469896,-0.316129685,0.100125313,14
O,0.312737942,0.444839954,S,0.647246122,0.361308098,-0.33450818,0.083531856,14
O,0.396140099,0.612477064,S,0.997972012,0.411496162,-0.601831913,0.200980902,15
O,1.799170971,2.10078907,S,1.864934921,0.980154991,-0.06576395,1.120634079,15
O,0.979490995,0.679489136,S,0.344699144,3.688875914,0.634791851,-3.009386778,15
O,0.343163013,1.147742033,S,0.427783012,0.462129831,-0.084619999,0.685612202,15
O,0.429328918,0.311446905,S,0.513108015,0.545371771,-0.083779097,-0.233924866,15
O,0.396309137,2.150676966,S,1.814645052,0.378419161,-1.418335915,1.772257805,15
O,1.180866003,0.461854935,S,2.317600012,0.377996922,-1.136734009,0.083858013,15
O,0.329191208,1.916654825,S,0.294792175,0.407058001,0.034399033,1.509596824,15
O,0.394837141,1.632334948,S,0.32948184,0.461555004,0.065355301,1.170779944,15
O,0.40941596,0.395690918,S,0.677700996,0.29480505,-0.268285036,0.100885868,15
O,0.780182123,1.246881008,S,1.232365131,0.662408113,-0.452183008,0.584472895,16
O,1.799256086,1.013473034,S,0.980132103,0.662440062,0.819123983,0.351032972,16
O,1.800782919,0.729095936,S,1.697449923,0.729192972,0.103332996,-9.7036E-05,16
O,1.581701994,0.579025984,S,0.84809804,0.562227011,0.733603954,0.016798973,16
O,2.436148167,0.545316935,S,0.694710016,2.669734955,1.741438151,-2.12441802,16
O,4.504878998,0.679056168,S,0.813035965,0.812943935,3.691843033,-0.133887767,16
O,1.179291964,0.969753981,S,1.012141943,0.780099154,0.167150021,0.189654827,16
O,0.629129887,0.411218882,S,1.981861115,0.71202302,-1.352731228,-0.300804138,16
O,1.416420937,0.628805876,S,4.524689913,0.427976131,-3.108268976,0.200829745,16
O,1.265686035,0.72913599,S,3.421998978,0.528773069,-2.156312943,0.200362921,16
O,2.236063004,0.495706081,S,0.646561146,0.445350885,1.589501858,0.050355196,17
O,3.440967083,0.428766012,S,1.516206026,0.462409019,1.924761057,-0.033643007,17
O,0.629770041,0.562569857,S,1.367258787,0.411861897,-0.737488746,0.15070796,17
O,2.119066,0.462337971,S,1.399333,0.880629063,0.719733,-0.418291092,17
O,1.46748805,0.662260056,S,1.650336981,0.562273026,-0.182848931,0.09998703,17
O,1.216238976,0.395668983,S,1.467514992,0.445743084,-0.251276016,-0.050074101,17
O,1.618464947,0.461586952,S,1.669309139,0.445315123,-0.050844192,0.016271829,17
O,1.081397057,2.219992161,S,1.58377099,0.37818408,-0.502373933,1.841808081,17
O,0.597806931,0.395098925,S,1.300867081,1.131520987,-0.70306015,-0.736422062,17
O,4.630871058,0.428704977,S,1.232450008,0.328125,3.39842105,0.100579977,17
O,1.651065826,1.231889963,S,0.463418007,0.713298798,1.187647819,0.518591165,18
O,0.529429913,0.478827,S,0.528862953,0.545737982,0.00056696,-0.066910982,18
O,0.313246965,0.578785896,S,1.735696077,0.629315138,-1.422449112,-0.050529242,18
O,0.428337097,0.66317296,S,0.429881096,0.914433956,-0.001543999,-0.251260996,18
O,0.781416893,0.546138048,S,0.61390996,0.378789186,0.167506933,0.167348862,18
O,0.547322989,0.562549114,S,0.379985094,0.444939137,0.167337895,0.117609977,18
O,0.580998898,1.415891886,S,0.831815004,0.696444988,-0.250816106,0.719446898,18
O,0.395311117,0.495985985,S,1.248351097,0.663531065,-0.85303998,-0.16754508,18
O,0.546858072,1.215739012,S,0.62825799,1.064929008,-0.081399918,0.150810004,18
O,1.115969181,0.612735033,S,0.411563873,0.428212166,0.704405308,0.184522867,18
O,1.214182854,0.595009089,S,0.662379026,0.428299904,0.551803828,0.166709185,19
O,0.429755926,0.512347937,S,0.595524073,0.411391973,-0.165768147,0.100955964,19
O,1.884375095,0.812930822,S,0.395056009,0.377969027,1.489319086,0.434961795,19
O,0.729335785,0.411786079,S,1.548125029,0.612300158,-0.818789244,-0.200514079,19
O,0.362653017,0.445301056,S,1.03194499,0.544168949,-0.669291973,-0.098867893,19
O,0.454162121,0.396434069,S,0.379760981,0.413434982,0.07440114,-0.017000913,19
O,0.312086821,0.395197868,S,0.362551928,0.595541954,-0.050465107,-0.200344086,19
O,0.895530939,0.645140886,S,0.746557951,1.53117013,0.148972988,-0.886029244,19
O,0.528680086,0.44116497,S,0.680232048,0.445285082,-0.151551962,-0.004120112,19
O,0.463206053,0.356184006,S,0.378561974,0.411831141,0.084644079,-0.055647135,19
O,2.183672905,3.186642885,S,3.08643508,0.679065943,-0.902762175,2.507576942,20
O,0.680026054,0.545815945,S,0.830898046,0.512085915,-0.150871992,0.03373003,20
O,0.647751093,1.431222916,S,1.046864033,1.163619995,-0.39911294,0.267602921,20
O,0.613301039,0.712474108,S,1.247187853,3.371188879,-0.633886814,-2.658714771,20
O,0.963049889,1.063509941,S,0.931826115,1.247440815,0.031223774,-0.183930874,20
O,1.381412029,3.471081972,S,0.36283493,1.365105152,1.018577099,2.10597682,20
O,0.929852009,1.932780027,S,0.980190039,1.815882206,-0.05033803,0.116897821,20
O,0.561758041,1.430876017,S,0.463000059,0.779412031,0.098757982,0.651463986,20
O,0.492008924,0.846457958,S,0.579687119,3.270702124,-0.087678195,-2.424244166,20
O,3.036364079,1.247443914,S,0.461499929,0.729554892,2.57486415,0.517889022,20
O,1.331263065,1.632047892,S,1.096828938,3.170142889,0.234434127,-1.538094997,21
O,0.579977989,0.579129934,S,0.847626925,0.461647987,-0.267648936,0.117481947,21
O,0.428096771,1.765666962,S,1.982964039,0.511781931,-1.554867268,1.253885031,21
O,0.628702164,1.481436014,S,0.394359827,3.854410887,0.234342337,-2.372974873,21
O,0.395820856,0.913262844,S,0.429982901,2.835820913,-0.034162045,-1.922558069,21
O,0.495414019,0.462051153,S,0.346363068,3.303680897,0.149050951,-2.841629744,21
O,1.131896973,2.802248955,S,0.546709061,3.069904804,0.585187912,-0.267655849,21
O,1.029766798,1.982805014,S,1.548617125,0.461561918,-0.518850327,1.521243096,21
O,0.830888987,0.528478861,S,0.646878958,1.966037035,0.184010029,-1.437558174,21
O,0.57908392,2.819002867,S,0.328574896,1.915899992,0.250509024,0.903102875,21
O,0.864467144,0.578479052,S,1.380889893,0.979912996,-0.516422749,-0.401433944,22
O,0.880070925,0.579238176,S,1.800609112,0.545730114,-0.920538187,0.033508062,22
O,0.630807161,1.113806963,S,2.467803001,0.712262869,-1.83699584,0.401544094,22
O,0.814208031,0.512109995,S,0.998147964,0.62843895,-0.183939933,-0.116328955,22
O,0.846261978,0.71251297,S,1.315743923,1.113972902,-0.469481945,-0.401459932,22
O,2.101710081,0.75798583,S,0.808310986,1.046454906,1.293399095,-0.288469076,22
O,0.530167818,0.561664104,S,0.8642869,0.428622007,-0.334119082,0.133042097,22
O,1.431758881,0.478035927,S,0.713870049,0.495345116,0.717888832,-0.017309189,22
O,0.846173048,0.494781971,S,1.416545868,3.120054007,-0.57037282,-2.625272036,22
O,0.412776947,1.833321095,S,1.715489149,0.411986113,-1.302712202,1.421334982,22
O,0.41218996,0.361475945,S,0.144119978,0.161040783,0.268069982,0.200435162,23
O,0.412719965,0.378462076,S,0.178272963,0.462377071,0.234447002,-0.083914995,23
O,0.344670057,0.812664032,S,0.407304049,0.227240086,-0.062633992,0.585423946,23
O,0.528530836,0.211246014,S,0.344528913,0.645964146,0.184001923,-0.434718132,23
O,0.480121136,0.228197098,S,0.463820934,0.311004877,0.016300202,-0.082807779,23
O,0.262306929,0.612262964,S,2.333184004,0.445688963,-2.070877075,0.166574001,23
O,0.178281069,0.444525957,S,0.17748189,0.6457901,0.000799179,-0.201264143,23
O,0.193774939,0.779780149,S,0.343206167,0.428381205,-0.149431228,0.351398944,23
O,0.379606962,0.227609873,S,0.161760092,0.161144018,0.21784687,0.066465855,23
O,0.811046124,0.37810111,S,0.241678953,0.227942944,0.569367171,0.150158166,23
O,0.662192106,0.745563984,S,2.551582813,0.645015955,-1.889390707,0.100548029,24
O,0.680500031,0.511430025,S,1.415021896,0.712417841,-0.734521865,-0.200987816,24
O,1.999819994,0.712224007,S,0.947956085,0.612584829,1.051863909,0.099639178,24
O,0.596569061,0.66229701,S,1.281988859,0.596046925,-0.685419798,0.066250085,24
O,0.445846081,0.512099981,S,0.513039112,0.98008585,-0.067193031,-0.467985869,24
O,0.931109905,1.99986887,S,0.479417086,0.495579004,0.451692819,1.504289866,24
O,1.030177116,1.297433138,S,1.343268871,0.662152052,-0.313091755,0.635281086,24
O,3.154299974,1.330708027,S,0.413012981,0.444636106,2.741286993,0.886071921,24
O,0.557738066,0.795995951,S,0.597015142,0.528378963,-0.039277076,0.267616988,24
O,0.596963167,0.511631012,S,0.762048006,0.813160181,-0.165084839,-0.301529169,24
O,1.382575035,0.445480108,S,0.411706924,1.415208101,0.970868111,-0.969727993,25
O,0.912769079,0.528550863,S,0.996475935,0.5788939,-0.083706856,-0.050343037,25
O,0.379508018,0.679176807,S,0.42991209,1.381024837,-0.050404072,-0.70184803,25
O,0.463382959,1.560665131,S,0.429871082,2.484314919,0.033511877,-0.923649788,25
O,0.896395922,0.461980104,S,0.446138144,0.72487092,0.450257778,-0.262890816,25
O,0.881221771,0.495458126,S,0.762995005,0.527997017,0.118226766,-0.032538891,25
O,0.360413074,0.797151089,S,0.463284969,0.7962749,-0.102871895,0.000876189,25
O,1.163827896,0.344450951,S,0.345975876,1.130774021,0.81785202,-0.78632307,25
O,1.315886021,0.42800498,S,0.93136096,0.646028042,0.384525061,-0.218023062,25
O,1.081598997,0.511882067,S,0.495378971,0.695893049,0.586220026,-0.184010982,25
O,1.298547983,0.54661417,S,1.081377029,0.596349001,0.217170954,-0.049734831,26
O,1.065923929,0.512375116,S,0.413011074,1.382647038,0.652912855,-0.870271922,26
O,2.570675135,0.663366079,S,0.965703964,1.248892069,1.604971171,-0.58552599,26
O,0.480591059,0.730085135,S,3.671871901,1.28204608,-3.191280842,-0.551960945,26
O,0.496711016,0.496228218,S,0.463542938,0.445348978,0.033168078,0.05087924,26
O,0.713493824,0.395175934,S,0.395078897,0.479286194,0.318414927,-0.08411026,26
O,0.647531986,0.680016041,S,0.379033089,0.39496088,0.268498897,0.285055161,26
O,0.529071808,0.428634882,S,0.412307978,0.495589972,0.11676383,-0.06695509,26
O,1.483474016,0.512192011,S,0.395446062,0.428874016,1.088027954,0.083317995,26
O,0.396579027,0.462184191,S,3.40843606,1.282449961,-3.011857033,-0.82026577,26
O,1.213045835,1.047025919,S,1.565696001,1.409792185,-0.352650166,-0.362766266,27
O,1.851257086,0.628660917,S,2.552632093,1.114012957,-0.701375007,-0.48535204,27
O,2.166952848,0.712865114,S,0.561455011,0.395206928,1.605497837,0.317658186,27
O,2.835397959,0.579451084,S,1.314218044,0.377943993,1.521179915,0.201507091,27
O,0.796046019,1.146218777,S,1.198757887,0.545309782,-0.402711868,0.600908995,27
O,1.617095947,0.829494953,S,1.916247129,1.013560057,-0.299151182,-0.184065104,27
O,1.700926065,0.544767141,S,0.513134003,2.100294113,1.187792062,-1.555526972,27
O,0.779316902,0.946604013,S,1.732786894,3.371014833,-0.953469992,-2.42441082,27
O,0.526506901,0.495388031,S,1.04846096,1.615962029,-0.521954059,-1.120573998,27
O,4.541932106,1.598662853,S,0.512778044,1.046868801,4.029154062,0.551794052,27
O,0.544831038,0.59581995,S,0.41128087,0.410964966,0.133550168,0.184854984,28
O,0.62846303,0.495564222,S,0.462933064,0.44551897,0.165529966,0.050045252,28
O,0.496838093,2.601866007,S,2.48667407,2.167066813,-1.989835977,0.434799194,28
O,0.847719908,0.645421982,S,0.479583979,4.291100979,0.368135929,-3.645678997,28
O,1.249074936,0.562112093,S,0.663999081,0.578578949,0.585075855,-0.016466856,28
O,0.462545156,0.629352093,S,1.483448982,1.950006962,-1.020903826,-1.320654869,28
O,1.598636866,0.511973858,S,0.177577972,0.29481101,1.421058894,0.217162848,28
O,0.428480864,0.628713846,S,0.477830172,0.462234974,-0.049349308,0.166478872,28
O,4.124930143,0.495275974,S,0.580537081,0.528194189,3.544393062,-0.032918215,28
O,0.212430954,0.228093863,S,0.210757971,0.194751024,0.001672983,0.033342839,28
O,2.720690012,0.74595499,S,1.197229147,3.170354843,1.523460865,-2.424399853,29
O,2.838072062,2.049645901,S,0.528003931,0.879639149,2.310068131,1.170006752,29
O,1.765622854,0.76267004,S,3.371098995,0.76198411,-1.605476141,0.00068593,29
O,0.62866497,0.695627928,S,0.881146193,0.929661036,-0.252481223,-0.234033108,29
O,0.595371962,0.996833086,S,0.797570944,0.72896409,-0.202198982,0.267868996,29
O,0.579966784,0.52889204,S,0.591086149,1.147536039,-0.011119365,-0.618643999,29
O,3.789308071,1.413727999,S,0.607769012,0.712107182,3.181539059,0.701620817,29
O,1.798780918,0.896385908,S,0.697540998,5.126481771,1.10123992,-4.230095863,29
O,0.578398943,0.779372215,S,0.66456604,4.841688871,-0.086167097,-4.062316656,29
O,0.74741292,0.56187892,S,0.547147989,1.030030012,0.200264931,-0.468151092,29
O,0.713840008,0.49515605,S,2.033894062,0.662785053,-1.320054054,-0.167629003,30
O,0.513333082,0.49525094,S,0.411623001,1.615530014,0.101710081,-1.120279074,30
O,0.611292124,0.445266008,S,0.479573965,0.612445831,0.131718159,-0.167179823,30
O,1.196980953,0.528736115,S,0.37930584,0.529222965,0.817675113,-0.00048685,30
O,0.411629915,0.378108978,S,0.611887932,0.628185034,-0.200258017,-0.250076056,30
O,0.445907116,0.411890984,S,0.513702154,0.444683075,-0.067795038,-0.032792091,30
O,0.478461027,0.46181798,S,0.579922915,0.3783741,-0.101461888,0.08344388,30
O,0.695805073,3.370643139,S,0.862643003,1.548722982,-0.16683793,1.821920157,30
O,0.49698019,0.377679825,S,0.6141119,0.662096977,-0.11713171,-0.284417152,30
O,0.495604992,0.592076063,S,0.427982092,0.361674786,0.0676229,0.230401277,30
O,0.379598856,0.461976051,S,0.411929846,0.762427807,-0.03233099,-0.300451756,31
O,0.445461035,0.326808929,S,0.261072874,0.712769032,0.184388161,-0.385960103,31
O,0.379199982,0.395413876,S,0.915158033,0.377986908,-0.535958051,0.017426968,31
O,0.390542984,0.344995022,S,0.295177937,0.478394985,0.095365047,-0.133399963,31
O,0.379765034,0.27751112,S,0.412158012,0.394650936,-0.032392978,-0.117139816,31
O,0.428556919,0.327889919,S,0.46173501,0.357316971,-0.033178091,-0.029427052,31
O,0.428263187,1.565356016,S,0.278932095,0.395115852,0.149331092,1.170240164,31
O,0.245255232,0.294674158,S,0.379727125,0.361221075,-0.134471893,-0.066546917,31
O,0.245596886,0.377705812,S,0.363045931,0.428487062,-0.117449045,-0.05078125,31
O,0.412529945,0.294270992,S,0.312821865,0.311144114,0.09970808,-0.016873122,31
O,1.180396795,0.695801973,S,0.695484877,0.529097795,0.484911918,0.166704178,32
O,1.516613007,1.615237951,S,1.499594927,0.579039097,0.01701808,1.036198854,32
O,0.780796051,0.578788996,S,0.528786182,0.695752859,0.252009869,-0.116963863,32
O,0.413294077,0.59522295,S,0.36291194,0.612180948,0.050382137,-0.016957998,32
O,0.429481983,0.445238113,S,0.494664907,0.445132017,-0.065182924,0.000106096,32
O,0.378131866,0.695549011,S,0.562043905,0.678509951,-0.183912039,0.01703906,32
O,0.831440926,0.607672215,S,0.462970018,0.695688963,0.368470908,-0.088016748,32
O,1.966448069,1.581865788,S,1.265323877,0.511692047,0.701124192,1.070173741,32
O,0.444384098,0.494924068,S,0.329589844,0.494748116,0.114794254,0.000175952,32
O,0.463465929,0.427459002,S,0.424995899,0.411854982,0.03847003,0.01560402,32
