Type1,regionExp_response_3.rt,regionExp_response_4.rt,Type2,regionExp_response_3.rt,regionExp_response_4.rt,OmS_3,OmS_4,OmS_4minus3,Participant
O,0.730337143,0.54509902,S,0.495518923,0.563358068,0.23481822,-0.018259048,-0.253077268,6
O,0.362860918,0.661986828,S,0.495077133,0.662400961,-0.132216215,-0.000414133,0.131802082,6
O,0.67901516,0.411333799,S,1.046289921,0.948383093,-0.367274761,-0.537049294,-0.169774533,6
O,0.345040798,0.444872141,S,0.344691038,0.697398901,0.00034976,-0.25252676,-0.25287652,6
O,0.679576159,0.41089201,S,0.344595194,0.411893845,0.334980965,-0.001001835,-0.3359828,6
O,0.545012951,0.361631155,S,0.478275061,0.764271975,0.06673789,-0.40264082,-0.46937871,6
O,1.33339715,0.696613073,S,0.395598888,2.488749981,0.937798262,-1.792136908,-2.72993517,7
O,2.089864016,0.612302065,S,0.647064209,0.646569967,1.442799807,-0.034267902,-1.477067709,7
O,2.08749485,5.800394058,S,0.328715086,0.580609083,1.758779764,5.219784975,3.461005211,7
O,0.413298845,0.411688805,S,0.679528952,0.714993954,-0.266230107,-0.303305149,-0.037075042,7
O,0.596498013,0.595773935,S,0.361769915,0.814038992,0.234728098,-0.218265057,-0.452993155,7
O,0.379964113,0.51204896,S,0.328849792,0.397144079,0.051114321,0.114904881,0.06379056,7
O,2.218965054,1.081459999,S,0.294229031,0.698592901,1.924736023,0.382867098,-1.541868925,7
O,0.41196084,0.395763874,S,0.764180183,1.114289045,-0.352219343,-0.718525171,-0.366305828,7
O,0.346375942,0.36184001,S,0.428323984,0.445495129,-0.081948042,-0.083655119,-0.001707077,7
O,0.361729145,0.42915988,S,0.445605993,1.233308077,-0.083876848,-0.804148197,-0.720271349,7
O,0.797592878,0.712435961,S,1.09532094,1.666602135,-0.297728062,-0.954166174,-0.656438112,8
O,0.731220007,2.200206995,S,1.24815011,0.778890848,-0.516930103,1.421316147,1.93824625,8
O,0.781002998,0.612367868,S,0.813258886,1.578333139,-0.032255888,-0.965965271,-0.933709383,8
O,0.681038857,0.662427902,S,1.164330006,1.347766161,-0.483291149,-0.685338259,-0.20204711,8
O,2.317728996,1.966470003,S,1.147472143,0.613675833,1.170256853,1.35279417,0.182537317,8
O,1.332563877,0.462123871,S,0.395343065,1.934628963,0.937220812,-1.472505092,-2.409725904,8
O,0.763807058,0.411775112,S,0.727301836,1.332201958,0.036505222,-0.920426846,-0.956932068,8
O,0.311439037,0.562011003,S,0.428653002,1.83284688,-0.117213965,-1.270835877,-1.153621912,8
O,0.323107958,0.963359118,S,1.147471905,1.299321175,-0.824363947,-0.335962057,0.48840189,8
O,0.528650999,0.595598936,S,0.462229967,0.847729921,0.066421032,-0.252130985,-0.318552017,8
O,0.562047005,0.394599915,S,0.411448002,0.914520979,0.150599003,-0.519921064,-0.670520067,9
O,0.328741074,0.462135077,S,0.361840963,0.428307056,-0.033099889,0.033828021,0.06692791,9
O,0.345944881,0.411947966,S,0.411893129,0.628674984,-0.065948248,-0.216727018,-0.15077877,9
O,0.411600113,0.510531902,S,0.478115082,0.679402113,-0.066514969,-0.168870211,-0.102355242,9
O,0.74617219,0.562350035,S,0.411785841,0.478585005,0.334386349,0.08376503,-0.250621319,9
O,0.346242905,0.378114939,S,0.42830801,1.08040905,-0.082065105,-0.702294111,-0.620229006,9
O,0.47855711,0.411947012,S,0.377710104,0.880953074,0.100847006,-0.469006062,-0.569853068,9
O,0.411573172,0.345103025,S,0.49524498,0.34640193,-0.083671808,-0.001298905,0.082372903,9
O,0.378240824,0.41170001,S,0.294346094,0.379143,0.08389473,0.03255701,-0.05133772,9
O,0.410774946,0.377969027,S,0.29482317,0.377790928,0.115951776,0.000178099,-0.115773677,9
O,1.548076868,0.47781682,S,0.745776892,1.982784033,0.802299976,-1.504967213,-2.307267189,10
O,0.745435953,0.478926897,S,1.03020215,2.083786964,-0.284766197,-1.604860067,-1.32009387,10
O,0.412933111,0.592824936,S,0.863229036,0.528689861,-0.450295925,0.064135075,0.514431,10
O,0.712308168,1.030045033,S,0.762342215,0.646894932,-0.050034047,0.383150101,0.433184148,10
O,0.730383158,0.862825871,S,0.42860508,0.678576946,0.301778078,0.184248925,-0.117529153,10
O,0.712554932,0.445168018,S,0.711518049,2.869906902,0.001036883,-2.424738884,-2.425775767,10
