RCtype,Par,ParFac,RC1,RC2,RC1fac,RC2fac,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,R_PRE,regionExp_response_3.rt,VinRC1,NinRC1,regionExp_response_4.rt,R34,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,R56,R567,regionExp_response_8.rt,regionExp_response_9.rt,VinRC2,NinRC2,R89,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_PRE,log_R34,log_R56,log_R567,log_R89,log_R8910,log_VinRC1,log_NinRC1,log_VinRC2,log_NinRC2,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OO,P,0.5,O,O,-0.5,-0.5,17,66,83,2,main,0,1,0,0,mismatch2,0.194192886,0.20844698,0.402639866,0.177775145,0.158717155,0.177775145,0.158717155,0.3364923,0.178683043,0.162807941,0.177375078,0.340183019,0.518866062,0.195919991,0.177815914,0.177815914,0.195919991,0.373735905,0.179261923,0.193858862,0.206685066,n,0.514705181,2.288233316,2.318995607,2.249871042,2.20062387,2.25208334,2.211675584,2.248892599,2.292078752,2.249970626,2.253488051,2.287485659,2.315309098,2.604916773,2.526975131,2.531712631,2.715055265,2.572564823,2.742723426,2.20062387,2.249871042,2.249970626,2.292078752,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,8,30,38,2,main,0,0,1,0,mismatch2,0.227817059,0.160582066,0.388399125,0.195271969,0.160951853,0.195271969,0.160951853,0.356223822,0.144090891,0.330039024,0.161110878,0.491149902,0.635240793,0.145120859,0.161111116,0.161111116,0.145120859,0.306231975,0.129230976,0.110527992,0.156718016,n,0.473816156,2.357586241,2.205697041,2.290639905,2.206695981,2.158636527,2.518565294,2.207124864,2.16172984,2.207125506,2.111366624,2.04347228,2.195118925,2.589278243,2.551722959,2.691214062,2.802938379,2.486050535,2.638951211,2.206695981,2.290639905,2.207125506,2.16172984,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,9,34,43,2,main,0,1,0,0,mismatch2,0.194447994,0.208139896,0.40258789,0.193800926,0.17783618,0.193800926,0.17783618,0.371637106,0.195867062,0.229312897,0.210411072,0.439723969,0.635591031,0.211206198,0.194272995,0.194272995,0.211206198,0.405479193,0.179195881,0.211679935,0.207010031,n,0.555115938,2.288803467,2.318355333,2.287355848,2.250020121,2.291961409,2.360428481,2.323068589,2.324706659,2.288412436,2.253328023,2.325679693,2.31599139,2.604860707,2.570119069,2.643180139,2.80317776,2.607968573,2.766914579,2.250020121,2.287355848,2.288412436,2.324706659,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,4,14,18,2,main,0,0,1,0,mismatch2,0.210675001,0.177122116,0.387797117,0.378968,0.277685881,0.378968,0.277685881,0.656653881,0.177308083,0.379566193,0.194291115,0.573857308,0.751165391,0.194005013,0.160302877,0.160302877,0.194005013,0.35430789,0.179286003,0.161736012,0.13478303,n,0.44580102,2.323613005,2.248272792,2.57860254,2.443553799,2.248728534,2.579287524,2.288452941,2.287812952,2.204941317,2.253546385,2.20880673,2.129635215,2.588604576,2.817336515,2.758803917,2.87573557,2.549380824,2.72721085,2.443553799,2.57860254,2.204941317,2.287812952,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,13,50,63,2,main,0,1,0,0,mismatch2,0.193750143,0.141524076,0.335274219,0.112107038,0.19414115,0.112107038,0.19414115,0.306248188,0.128911018,0.145318985,0.143591166,0.288910151,0.417821169,0.144016981,0.127934217,0.127934217,0.144016981,0.271951198,0.162657022,0.127493143,0.172821999,n,0.114356995,2.287242032,2.150830328,2.049632878,2.288117598,2.110290038,2.162322356,2.157127722,2.158413703,2.106986715,2.211272817,2.105486828,2.237599024,2.52540016,2.486073528,2.460762801,2.62099044,2.434490976,2.638097936,2.288117598,2.049632878,2.106986715,2.158413703,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,1,2,3,2,main,0,1,0,0,match,0.294461966,0.175046921,0.469508887,0.244743109,0.277627945,0.244743109,0.277627945,0.522371054,0.564113855,0.396446943,0.528195143,0.924642086,1.488755941,0.596880913,0.679524899,0.679524899,0.596880913,1.276405812,0.396458864,0.329436064,0.390534163,y,1.395402908,2.469029207,2.243154476,2.388710473,2.443463178,2.751366766,2.598185073,2.722794403,2.775887691,2.832205375,2.598198132,2.51777114,2.591659031,2.671643817,2.717979103,2.965973657,3.172823508,3.105988773,3.223460811,2.443463178,2.388710473,2.832205375,2.775887691,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,5,18,23,2,main,0,1,0,0,match,0.210721016,0.358896017,0.569617033,0.162392855,0.19401288,0.162392855,0.19401288,0.356405735,0.161767006,0.162518024,0.177255869,0.339773893,0.501540899,0.177864075,0.177587986,0.177587986,0.177864075,0.355452061,0.379724026,0.441524029,0.406673908,y,0.208055019,2.323707852,2.554968639,2.210566917,2.287830563,2.208889948,2.210901533,2.248600624,2.250088238,2.249413582,2.579468077,2.644954344,2.609246309,2.755582967,2.551944684,2.531190006,2.700306354,2.550781037,2.866391372,2.287830563,2.210566917,2.249413582,2.250088238,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,16,62,78,2,main,0,0,1,0,mismatch1,0.495161057,0.912831068,1.407992125,1.229920864,0.36137104,1.229920864,0.36137104,1.591291904,0.378320932,0.329348087,0.294501066,0.623849153,1.002170085,0.463088989,0.361283064,0.361283064,0.463088989,0.824372053,0.346831083,0.327996969,0.340294123,y,0.048448086,2.694746481,2.960390413,3.089877169,2.557953346,2.577860371,2.517655145,2.469086871,2.665664455,2.557847603,2.540118012,2.51586983,2.531854449,3.148600226,3.201749853,2.79507959,3.000941435,2.91612326,3.068632227,2.557953346,3.089877169,2.557847603,2.665664455,0,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,20,78,98,2,main,0,0,1,0,mismatch1,0.411554098,0.176862001,0.588416099,0.194382906,0.311560869,0.194382906,0.311560869,0.505943775,0.170478106,0.195762873,0.160200119,0.355962992,0.526441098,0.16206789,0.177521944,0.177521944,0.16206789,0.339589834,0.162734032,0.143751144,0.172528982,y,0.066433907,2.61442693,2.247634534,2.28865807,2.493542906,2.231668612,2.29173033,2.204662834,2.209696978,2.249252045,2.211478385,2.15761131,2.23686206,2.769684546,2.704102257,2.551404849,2.721349786,2.530954681,2.700983812,2.493542906,2.28865807,2.249252045,2.209696978,0,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,P,0.5,O,O,-0.5,-0.5,12,46,58,2,main,0,0,1,0,mismatch2,0.194844961,0.194275856,0.389120817,0.177829027,0.159782171,0.177829027,0.159782171,0.337611198,0.143866062,0.162322044,0.127155066,0.28947711,0.433343172,0.327618837,0.160204172,0.160204172,0.327618837,0.487823009,0.161967993,0.178688049,0.138689041,y,0.649089813,2.289689179,2.288418831,2.250002652,2.203528318,2.157958356,2.210377503,2.104333668,2.515368864,2.204673822,2.209429201,2.252095507,2.142042145,2.590084465,2.528416843,2.461614228,2.636831958,2.688262281,2.812773693,2.203528318,2.250002652,2.204673822,2.515368864,0,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
