RCtype,RC1,RC2,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,R346,R8910,log_RC1_rt,log_RC2_rt,R3468910,log_R3468910,R3489,log_R3489,R34,log_R34,R89,log_R89
OS,O,S,5,20,25,1,main,0,0,0,1,match,1,0.561542988,4.441890001,1.534300089,0.646028042,0.530403137,0.380264044,1.448920965,0.328307867,0.561784983,0.397745848,0.413263083,0.357095003,y,4.407659054,2.749383009,3.647567799,3.18591031,2.81025137,2.724606084,2.580085262,3.161044696,2.51628129,2.749570126,2.599605655,2.616226611,2.552783773,2.560592175,1.287838698,3.408340414,3.109861471,3.848430873,3.58528369,3.070420981,3.487197925,2.180328131,3.338521858,0.89009285,2.949435312
OS,O,S,1,4,5,1,main,0,0,0,1,match,1,1.014454126,1.095149994,0.429859161,0.378787994,1.216643095,0.865693808,0.495003939,0.47933507,0.932245016,0.413686037,0.363182068,0.558086157,y,3.118752956,3.006232413,3.039473605,2.633326187,2.578396205,3.085163196,2.937364311,2.694608655,2.680639205,2.96953007,2.616670863,2.560124397,2.74670125,1.674340963,1.825266123,3.223843902,3.261326193,3.499607086,3.544019287,2.220227241,3.346397427,0.808647155,2.907759063,1.411580086,3.149705523
SO,S,O,4,15,19,1,main,0,0,0,1,mismatch2,1,0.642275095,0.562615871,0.411425829,0.39736104,0.495600939,0.363455057,3.643621206,0.579553127,1.934393883,0.481014967,4.010972977,0.474672079,n,3.546909809,2.807721082,2.750211979,2.614291553,2.599185284,2.695132121,2.560450716,3.561533221,2.763093253,3.28654491,2.68215859,3.603249736,2.676393687,1.172241926,2.994961977,3.06901725,3.476391313,4.167203903,3.619844751,3.322733879,3.52149556,0.808786869,2.907834092,2.51394701,3.400356119
SO,S,O,16,63,79,1,main,0,0,0,1,mismatch2,1,0.31192112,2.402998924,1.0648489,0.579093933,0.378319979,0.330024004,2.270117044,0.697612047,1.81810689,0.531157017,1.031111002,0.591322899,n,4.111116886,2.494044782,3.380753576,3.027287987,2.762749015,2.577859277,2.518545529,3.356048249,2.843613972,3.259619413,2.725222923,3.013305421,2.771824697,1.973966837,3.046875954,3.295339852,3.483854773,5.020842791,3.700776623,4.15966177,3.619058019,1.643942833,3.215886711,2.515718937,3.400662119
SO,S,O,12,47,59,1,main,0,0,0,1,mismatch2,1,0.41200304,0.461806059,0.847359896,1.91830802,0.427650928,0.31376791,3.122874022,0.880861998,1.935134888,0.413276911,2.907247782,0.909747124,n,3.21829915,2.614900421,2.664459627,2.928067906,3.282918342,2.631089419,2.496608525,3.494554465,2.944907874,3.286711243,2.616241143,3.463482048,2.958920691,3.079435826,3.229273797,3.488471158,3.509104869,6.308709623,3.799940538,5.581664802,3.746763752,2.765667916,3.441800032,2.815996886,3.44963217
SO,S,O,18,71,89,1,main,0,1,0,0,match,1,0.729645967,0.577754974,0.562070131,0.865393877,1.163892984,0.614199877,0.646138906,0.394752026,0.763695955,2.455350876,2.169414043,0.43621397,y,2.468883038,2.863112186,2.761743693,2.749790507,2.937213818,3.06591305,2.788309725,2.810325892,2.596324368,2.88292049,3.390113563,3.336342447,2.63969957,2.041663885,3.613798857,3.309984247,3.557963976,5.655462742,3.752468146,2.585911989,3.41261374,1.427464008,3.154565167,1.158447981,3.063876537
SO,S,O,14,55,69,1,main,0,1,0,0,match,1,0.461987019,0.997773886,1.885183096,2.036659002,0.678105116,1.685810089,0.661998987,1.284067869,0.545580864,1.267636061,4.093491077,0.356905937,y,2.289274216,2.664629773,2.999032133,3.275353537,3.308918321,2.831297021,3.226808649,2.820857325,3.108587979,2.736859129,3.102994585,3.612093848,2.552553772,5.607652187,3.097284794,3.748781069,3.49098114,8.704936981,3.939765631,5.751490831,3.759780432,3.921842098,3.593490104,1.829648733,3.262367719
SO,S,O,20,79,99,1,main,0,0,0,1,mismatch2,1,0.361677885,0.61205101,1.266005039,0.647537947,0.646378994,1.451534987,1.164753914,0.46348381,0.462366104,0.999346018,2.486609936,0.620608091,n,3.186542988,2.558321954,2.786787619,3.102435434,2.811265224,2.810487234,3.161827508,3.066234179,2.666034568,2.664985989,2.999715886,3.395607665,2.792817433,3.365077973,1.925195932,3.526995132,3.284474935,5.290273905,3.723478158,2.8393929,3.453225492,1.913542986,3.281838223,0.925849914,2.966540591
SO,S,O,6,23,29,1,main,0,1,0,0,match,1,0.763312817,0.81328392,0.41242218,1.800503969,2.217535973,0.396570921,0.427961826,0.31320405,0.41130209,2.33891201,1.550868988,0.524419069,y,3.358763933,2.882702555,2.910242186,2.615342014,3.255394083,3.345870674,2.598320866,2.631405032,2.495827369,2.614160916,3.369013884,3.190575112,2.719678475,2.60949707,3.06341815,3.416556814,3.486206281,5.67291522,3.753806293,2.937432289,3.467967864,2.212926149,3.344966921,0.72450614,2.86004207
SO,S,O,10,39,49,1,main,0,1,0,0,match,1,0.358025074,0.361557961,0.428271055,0.614407063,1.113066912,0.363718987,0.46113205,1.280221939,0.797141075,0.480736971,0.330085039,0.892891884,y,2.321718931,2.553913443,2.558177929,2.631718723,2.7884562,3.046521273,2.560765973,2.663825308,3.107285265,2.901535188,2.681907523,2.518625841,2.950798875,1.406397105,2.558099985,3.148107964,3.407917515,3.96449709,3.598188103,3.120041132,3.494160319,1.042678118,3.018150259,2.077363014,3.317512395
