RCtype,RC1,RC2,Group,Num,Item,Participant,Main,V1,V2,V3,V4,Matching,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,regionExp_response_11.rt,regionExp_response_12.rt,Q_Exp_response.keys,Q_Exp_response.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,log_R11,log_R12,log_R34,log_R89,CORR,OO%COR,OS%COR,SO%COR,SS%COR,T%COR,OO-FP,OS-FP,SO-FP,SS-FP,T-FP,adj-OO,adj-OS,adj-SO,adj-SS,adj-%COR,adj-OO-FP,adj-OS-FP,adj-SO-FP,adj-SS-FP,adj-T-FP,dprimeOO,dprimeOS,dprimeSO,dprimeSS,dprimeT,dprimeSS-OS,dprimeOO-SO,dprimeSS-SO,dprimeOO-OS
OO,O,O,17,66,83,2,main,0,1,0,0,mismatch2,0.194192886,0.20844698,0.177775145,0.158717155,0.178683043,0.162807941,0.177375078,0.195919991,0.177815914,0.179261923,0.193858862,0.206685066,n,0.514705181,2.288233316,2.318995607,2.249871042,2.20062387,2.25208334,2.211675584,2.248892599,2.292078752,2.249970626,2.253488051,2.287485659,2.315309098,2.526975131,2.572564823,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,8,30,38,2,main,0,0,1,0,mismatch2,0.227817059,0.160582066,0.195271969,0.160951853,0.144090891,0.330039024,0.161110878,0.145120859,0.161111116,0.129230976,0.110527992,0.156718016,n,0.473816156,2.357586241,2.205697041,2.290639905,2.206695981,2.158636527,2.518565294,2.207124864,2.16172984,2.207125506,2.111366624,2.04347228,2.195118925,2.551722959,2.486050535,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,9,34,43,2,main,0,1,0,0,mismatch2,0.194447994,0.208139896,0.193800926,0.17783618,0.195867062,0.229312897,0.210411072,0.211206198,0.194272995,0.179195881,0.211679935,0.207010031,n,0.555115938,2.288803467,2.318355333,2.287355848,2.250020121,2.291961409,2.360428481,2.323068589,2.324706659,2.288412436,2.253328023,2.325679693,2.31599139,2.570119069,2.607968573,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,4,14,18,2,main,0,0,1,0,mismatch2,0.210675001,0.177122116,0.378968,0.277685881,0.177308083,0.379566193,0.194291115,0.194005013,0.160302877,0.179286003,0.161736012,0.13478303,n,0.44580102,2.323613005,2.248272792,2.57860254,2.443553799,2.248728534,2.579287524,2.288452941,2.287812952,2.204941317,2.253546385,2.20880673,2.129635215,2.817336515,2.549380824,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,13,50,63,2,main,0,1,0,0,mismatch2,0.193750143,0.141524076,0.112107038,0.19414115,0.128911018,0.145318985,0.143591166,0.144016981,0.127934217,0.162657022,0.127493143,0.172821999,n,0.114356995,2.287242032,2.150830328,2.049632878,2.288117598,2.110290038,2.162322356,2.157127722,2.158413703,2.106986715,2.211272817,2.105486828,2.237599024,2.486073528,2.434490976,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,1,2,3,2,main,0,1,0,0,match,0.294461966,0.175046921,0.244743109,0.277627945,0.564113855,0.396446943,0.528195143,0.596880913,0.679524899,0.396458864,0.329436064,0.390534163,y,1.395402908,2.469029207,2.243154476,2.388710473,2.443463178,2.751366766,2.598185073,2.722794403,2.775887691,2.832205375,2.598198132,2.51777114,2.591659031,2.717979103,3.105988773,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,5,18,23,2,main,0,1,0,0,match,0.210721016,0.358896017,0.162392855,0.19401288,0.161767006,0.162518024,0.177255869,0.177864075,0.177587986,0.379724026,0.441524029,0.406673908,y,0.208055019,2.323707852,2.554968639,2.210566917,2.287830563,2.208889948,2.210901533,2.248600624,2.250088238,2.249413582,2.579468077,2.644954344,2.609246309,2.551944684,2.550781037,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,13,50,63,3,main,0,1,0,0,mismatch2,0.628707886,0.392659903,1.081416845,0.529026985,0.680288076,1.149060011,0.495105982,2.434486866,0.528918982,0.446635008,3.086506128,2.330051899,n,2.27207303,2.798448908,2.594016555,3.03399313,2.723477825,2.832692859,3.060342711,2.694698174,3.386407436,2.723389153,2.649952761,3.489467144,3.367365595,3.206945582,3.471791134,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,16,62,78,3,main,0,0,1,0,mismatch1,0.328435183,0.595139027,0.996728897,0.645819902,4.741671085,0.413211107,0.545222044,2.904599905,0.445189953,1.215350151,1.582287073,0.790948153,n,2.814036846,2.516449674,2.774618431,2.998577049,2.810111424,3.675931425,2.616171987,2.736573407,3.463086319,2.648545355,3.084701419,3.19928528,2.898148016,3.215518281,3.525017563,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,9,34,43,3,main,0,1,0,0,mismatch2,0.461601019,0.625946999,0.461616039,0.545286894,0.396576881,0.413524866,1.866061926,1.3439641,0.512065887,0.897995949,1.96775198,0.523630857,n,4.956216097,2.664266759,2.796537562,2.66428089,2.73662506,2.598327393,2.61650163,3.270926052,3.128387668,2.709325845,2.953274378,3.293970358,2.719025231,3.002987606,3.268584989,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
OO,O,O,17,66,83,3,main,0,1,0,0,mismatch2,0.746184111,0.542091131,0.511602879,0.361460924,0.379598856,0.309735775,0.544924021,1.616540194,0.595717907,1.231606007,0.813123941,0.724516153,n,2.74433589,2.872845997,2.734072302,2.70893298,2.558061354,2.579324895,2.49099137,2.736335953,3.208586507,2.775040655,3.090471798,2.910156748,2.860048072,2.941045983,3.344835794,1,1,1,1,1,1,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.05,0.05,0.05,0.05,0.05,3.289707254,3.289707254,3.289707254,3.289707254,3.289707254,0,0,0,0
