Rctype,RC1,RC2,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,R23467810,log_R23467810,R234678,log_R234678,RC1_rt,log_RC1_rt,RC2_rt,log_RC2_rt,R3478,log_R3478,R78,log_R78,R34,log_R34
SO,S,O,15,59,74,1,1,0,0,0,mismatch1,1,0.578083038,0.446075201,0.462289095,0.426501989,0.326421022,0.479767084,0.611207962,1.131830931,0.441570997,0.376038074,n,3.073794842,2.761990227,2.64940808,2.664913649,2.629921061,2.51377812,2.681030448,2.786189003,3.053781558,2.645000541,2.57523182,3.933710336,3.594802377,3.557672262,3.551165938,1.334866285,3.125437764,2.222805977,3.346901556,2.631829977,3.420257829,1.743038893,3.241307078,0.888791084,2.948799689
SO,S,O,5,19,24,1,0,0,1,0,match,1,0.593807936,0.864831924,2.235445976,0.443964005,1.179724932,0.646775007,0.595039129,0.596307039,0.525878906,0.376052856,y,8.294979095,2.773645997,2.936931713,3.349364179,2.647347761,3.071780758,2.810753229,2.774545525,2.775469936,2.720885751,2.575248891,5.758415936,3.760303031,5.38236308,3.730972991,3.544241905,3.549523356,1.838121175,3.264374138,3.870756149,3.587795812,1.191346168,3.076037972,2.679409981,3.428039171
SS,S,S,17,65,82,1,1,0,0,0,mismatch2,1,0.611534119,2.588536978,0.629034996,1.213718891,1.732131004,1.299879074,0.926758051,0.627837181,0.810915947,0.493178129,n,2.421393871,2.786420692,3.413054373,2.798674808,3.084118112,3.238580735,3.113902952,2.966966368,2.797847031,2.908975841,2.693003809,7.7789433,3.890920606,7.285765171,3.862475169,4.431290865,3.646530258,2.854474306,3.455526138,3.397349119,3.531140178,1.554595232,3.191617331,1.842753887,3.265467336
OO,O,O,10,38,48,1,1,0,0,0,match,1,0.661248922,0.429480076,0.476109028,1.751063108,0.511372089,0.798120022,0.559862137,0.94777298,1.062065125,0.543227196,y,2.215795994,2.820364977,2.632943021,2.677706417,3.243301798,2.70873702,2.902068206,2.748081098,2.976704323,3.026151148,2.734981504,5.505634547,3.74080738,4.962407351,3.695692411,2.656652212,3.424334704,2.305755139,3.362813185,3.734807253,3.572268194,1.507635117,3.178296245,2.227172136,3.347753785
SS,S,S,11,41,52,1,0,0,1,0,mismatch1,1,0.677145958,0.429935932,0.462167978,0.475636005,1.632242203,0.429343939,0.512637854,0.460432053,0.576010227,0.526583195,n,7.320216179,2.83068229,2.633403743,2.664799851,2.677274723,3.212784603,2.632805336,2.709810672,2.663165549,2.760430194,2.721466995,3.296736956,3.518084297,2.770153761,3.442503876,1.367739915,3.136003521,1.402413846,3.146876191,1.91087389,3.281232026,0.973069907,2.988144042,0.937803983,2.972112073
SO,S,O,13,51,64,1,0,0,1,0,mismatch2,1,0.795691967,0.663816929,0.679255962,3.506963015,0.727763891,0.429236889,0.560226917,0.44542408,0.67644906,0.577425003,n,3.60989213,2.900744974,2.822048324,2.832033459,3.544931186,2.861990504,2.632697039,2.748363971,2.648773692,2.830235098,2.761495585,6.862348795,3.836472788,6.284923792,3.798300016,4.850035906,3.685744954,1.434887886,3.156817969,5.191869974,3.715323807,1.005650997,3.002447288,4.186218977,3.621821942
OS,O,S,2,8,10,1,0,0,1,0,mismatch1,1,0.81190896,1.33314991,0.945713043,2.90574193,0.746053934,0.462696075,0.780601978,0.728394985,0.576050997,0.677823067,n,5.227867842,2.909507334,3.124878988,2.975759379,3.46325704,2.872770225,2.665295815,2.892429647,2.862366947,2.760460933,2.831116344,7.834120988,3.893990274,7.156297921,3.854688412,5.184604883,3.714715665,1.971693038,3.294839303,5.360451936,3.729201406,1.508996963,3.178688366,3.851454973,3.585624825
OO,O,O,16,62,78,1,0,0,1,0,mismatch1,1,0.84561801,0.546389818,0.862561941,5.650522947,0.607724905,0.430299997,1.782642841,0.729794025,0.594644785,0.509750843,n,2.155917168,2.927174224,2.737502598,2.935790292,3.752088643,2.783707034,2.633771343,3.251064339,2.863200303,2.774257614,2.707357953,10.51196241,4.021683799,10.00221157,4.000096037,7.059474706,3.848772386,2.942736863,3.46875143,9.025521754,3.955472317,2.512436866,3.400095157,6.513084888,3.813786739
SO,S,O,1,3,4,1,0,0,1,0,match,1,0.962342978,0.746628046,1.533758879,4.710011959,0.44362998,0.446767092,1.480434895,0.445790052,1.814344168,0.476849079,y,2.940608025,2.983329882,2.8731043,3.18575709,3.67302201,2.647020888,2.650081176,3.170389313,2.649130373,3.258719673,2.678380948,9.840240002,3.993005691,9.363390923,3.971433156,6.990398884,3.844501958,2.372992039,3.375296281,8.169995785,3.912221832,1.926224947,3.284707003,6.243770838,3.795446955
SO,S,O,17,67,84,1,0,0,1,0,mismatch2,1,0.979232788,1.015326023,0.478991985,0.410234928,0.460475206,0.580000162,0.711583138,0.679660082,0.559246063,0.527212858,n,12.3024199,2.990885947,3.006605517,2.680328246,2.613032634,2.663206251,2.763428115,2.852225648,2.832291764,2.747602935,2.721985994,4.403009176,3.643749591,3.875796318,3.588360946,1.904552936,3.279793048,1.971243382,3.294740248,2.280470133,3.358024389,1.39124322,3.143403061,0.889226913,2.949012598
